"﻿question_id","db_id","question","SQL","evidence","Comment","difficulty","Annotation"
"339","toxicology","List the atom ID of the carcinogenic molecule that contains oxygen?","SELECT T1.atom_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'o' AND T2.label = '+'","label = '+' mean molecules are carcinogenic; oxygen refers to element = 'o'","","simple",""
"275","toxicology","Give me the molecule ID of the double bond type.","SELECT DISTINCT T.molecule_id FROM bond AS T WHERE T.bond_type = '='","double bond refers to bond_type = ' = ';","Wrong grammatical number in the question. There are multiplemolecule Ids with the double bond type","simple","1"
"322","toxicology","What is the element of toxicology for the atom with the ID of TR000_1?","SELECT T.element FROM atom AS T WHERE T.atom_id = 'TR000_1'","atom with ID refers to atom_id; element = 'cl' means Chlorine; element = 'c' means Carbon; element = 'h' means Hydrogen; element = 'o' means Oxygen, element = 's' means Sulfur; element = 'n' means Nitrogen, element = 'p' means Phosphorus, element = 'na' means Sodium, element = 'br' means Bromine, element = 'f' means Fluorine; element = 'i' means Iodine; element = 'sn' means Tin; element = 'pb' means Lead; element = 'te' means Tellurium; element = 'ca' means Calcium","It is just ""element"", not ""element of toxicology"". Syntactical error in question. ","challenging","1"
"259","toxicology","How many elements are there for single bond molecules?","SELECT COUNT(DISTINCT T.element) FROM ( SELECT DISTINCT T2.molecule_id, T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '-' ) AS T","single bond refers to bond_type = '-';","","simple","2"
"295","toxicology","How many atoms belong to the molecule that element is hydrogen and labeled with carcinogenic compound?","SELECT COUNT(T1.atom_id) AS atomnums_h FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.element = 'h'","label = '+' mean molecules are carcinogenic; hydrogen refers to element = h'","","simple","1"
"255","toxicology","What proportion of single bonds are carcinogenic?","SELECT CAST(COUNT(CASE WHEN T2.label = '+' THEN T1.bond_id ELSE NULL END) AS REAL) * 100 / COUNT(T1.bond_id) FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '-'","single bond refers to bond_type = '-'; label = '+' mean molecules are carcinogenic; proportion = DIVIDE(SUM(label = '+'), COUNT(bond_id)) where bond_type = '-'","","moderate",""
"235","toxicology","How many molecules are carcinogenic and have the bromine element?","SELECT COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.element = 'br'","label = '+' mean molecules are carcinogenic; have bromine element refers to element = 'br'","","simple",""
"326","toxicology","Which molecule consisted of Sulphur atom with double bond?","SELECT DISTINCT T1.molecule_id FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 's' AND T2.bond_type = '='","sulphur refers to element - 's'; double bond refers to bond_type = ' = ';","","simple",""
"289","toxicology","Is molecule TR151 carcinogenic?","SELECT T.label FROM molecule AS T WHERE T.molecule_id = 'TR151'","label = '+' mean molecules are carcinogenic;","","simple",""
"317","toxicology","Calculate the percentage of carcinogenic molecules which contain the Chlorine element.","SELECT COUNT(CASE WHEN T2.label = '+' AND T1.element = 'cl' THEN T2.molecule_id ELSE NULL END) * 100 / COUNT(T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id","label = '+' mean molecules are carcinogenic; percentage = DIVIDE(SUM(label = '+' and element = 'cl'), COUNT(molecule_id)) as percentage","If a molecule has more than one chlorine element, it is going to get counted multiple times and not just once","moderate","3"
"294","toxicology","Which bond ids are double-bond with carcinogenic compound?","SELECT T1.bond_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.bond_type = '='","label = '+' mean molecules are carcinogenic; double bond refers to bond_type = ' = ';","","simple",""
